Lead_ID,Name,Phone,Source_Number,Assigned_Role
LEAD-0001,Hari Subramanian,6682751893,Enquiry,ENQUIRY
LEAD-0002,Siddharth Tripathi,7564209312,Buyer,BUYER
LEAD-0003,Anand Pillai,6941460145,Site Visit,SITE_VISIT
LEAD-0004,Anika Verma,7265774428,Buyer,BUYER
LEAD-0005,Rahul Kulkarni,9064578569,Enquiry,ENQUIRY
LEAD-0006,Diya Shetty,8960094575,Buyer,BUYER
LEAD-0007,Krishna Roy,8234300072,Enquiry,ENQUIRY
LEAD-0008,Tanvi Reddy,9105578047,Channel Partner,CHANNEL_PARTNER
LEAD-0009,Shreya Iyer,7711435375,Buyer,BUYER
LEAD-0010,Vikram Iyer,6193180901,Site Visit,SITE_VISIT
LEAD-0011,Dinesh Tripathi,9618011434,Buyer,BUYER
LEAD-0012,Suresh Sundaram,6510663316,Channel Partner,CHANNEL_PARTNER
LEAD-0013,Nisha Gupta,9829126485,Buyer,BUYER
LEAD-0014,Aditya Krishnan,8731762453,Channel Partner,CHANNEL_PARTNER
LEAD-0015,Azhagu Rao,9293853730,Site Visit,SITE_VISIT
LEAD-0016,Divya Mukherjee,7279311607,Channel Partner,CHANNEL_PARTNER
LEAD-0017,Vivaan Reddy,7327767523,Buyer,BUYER
LEAD-0018,Sneha Das,6932170500,Site Visit,SITE_VISIT
LEAD-0019,Ramesh Verma,9568645436,Site Visit,SITE_VISIT
LEAD-0020,Vihaan Bhat,7374632477,Site Visit,SITE_VISIT
LEAD-0021,Gopal Patel,9169195408,Site Visit,SITE_VISIT
LEAD-0022,Gopal Chauhan,8762315986,Channel Partner,CHANNEL_PARTNER
LEAD-0023,Ayaan Yadav,6490300165,Buyer,BUYER
LEAD-0024,Hari Joshi,7340629397,Enquiry,ENQUIRY
LEAD-0025,Diya Shetty,7177195771,Site Visit,SITE_VISIT
LEAD-0026,Vihaan Jain,7587127390,Channel Partner,CHANNEL_PARTNER
LEAD-0027,Sai Arora,6390323177,Buyer,BUYER
LEAD-0028,Ira Kulkarni,8648913600,Buyer,BUYER
LEAD-0029,Aarav Jain,8207030495,Buyer,BUYER
LEAD-0030,Arjun Reddy,6223105030,Channel Partner,CHANNEL_PARTNER
LEAD-0031,Neha Kumar,8936388913,Enquiry,ENQUIRY
LEAD-0032,Aditya Naidu,8246128778,Enquiry,ENQUIRY
LEAD-0033,Dinesh Jain,6865368740,Enquiry,ENQUIRY
LEAD-0034,Krishna Pandey,7923574064,Site Visit,SITE_VISIT
LEAD-0035,Divya Pillai,8559554478,Buyer,BUYER
LEAD-0036,Arjun Malhotra,7240770966,Channel Partner,CHANNEL_PARTNER
LEAD-0037,Shreya Rao,7095768375,Channel Partner,CHANNEL_PARTNER
LEAD-0038,Neha Mukherjee,8137116632,Enquiry,ENQUIRY
LEAD-0039,Sneha Narayanan,9006798755,Enquiry,ENQUIRY
LEAD-0040,Azhagu Jain,6022021263,Enquiry,ENQUIRY
LEAD-0041,Naveen Balaji,9320083188,Buyer,BUYER
LEAD-0042,Vihaan Rao,8026424848,Site Visit,SITE_VISIT
LEAD-0043,Vasudevan Tripathi,6114459232,Site Visit,SITE_VISIT
LEAD-0044,Nisha Nair,8652792943,Channel Partner,CHANNEL_PARTNER
LEAD-0045,Krishna Venkatesh,6801061210,Channel Partner,CHANNEL_PARTNER
LEAD-0046,Meera Narayanan,9478274247,Channel Partner,CHANNEL_PARTNER
LEAD-0047,Ayaan Joshi,9193001215,Channel Partner,CHANNEL_PARTNER
LEAD-0048,Aditya Jain,7428565653,Site Visit,SITE_VISIT
LEAD-0049,Azhagu Aggarwal,7294384972,Buyer,BUYER
LEAD-0050,Vivaan Krishnan,9757600866,Buyer,BUYER
LEAD-0051,Nisha Kapoor,7821262155,Site Visit,SITE_VISIT
LEAD-0052,Meera Nair,8408047906,Buyer,BUYER
LEAD-0053,Nisha Tripathi,7423552326,Site Visit,SITE_VISIT
LEAD-0054,Shreya Verma,6259577424,Site Visit,SITE_VISIT
LEAD-0055,Pranav Yadav,7627611614,Buyer,BUYER
LEAD-0056,Ira Roy,9397040587,Site Visit,SITE_VISIT
LEAD-0057,Aadhya Chauhan,7103168630,Buyer,BUYER
LEAD-0058,Navaneethan Mukherjee,7065173961,Buyer,BUYER
LEAD-0059,Anand Rao,7606243870,Buyer,BUYER
LEAD-0060,Dinesh Shetty,9056563349,Enquiry,ENQUIRY
LEAD-0061,Tanvi Arora,9652671671,Channel Partner,CHANNEL_PARTNER
LEAD-0062,Tanvi Verma,6713783138,Enquiry,ENQUIRY
LEAD-0063,Riya Tripathi,9608563284,Site Visit,SITE_VISIT
LEAD-0064,Akash Reddy,7912457063,Buyer,BUYER
LEAD-0065,Suresh Bhat,9406744218,Enquiry,ENQUIRY
LEAD-0066,Anand Aggarwal,8403143886,Site Visit,SITE_VISIT
LEAD-0067,Ganesh Ramaswamy,8927628503,Enquiry,ENQUIRY
LEAD-0068,Ananya Bhat,7313554459,Site Visit,SITE_VISIT
LEAD-0069,Ishita Jain,7814949682,Channel Partner,CHANNEL_PARTNER
LEAD-0070,Aarav Kapoor,6009176565,Enquiry,ENQUIRY
LEAD-0071,Sai Jain,8411335268,Enquiry,ENQUIRY
LEAD-0072,Rahul Ramaswamy,6057439230,Site Visit,SITE_VISIT
LEAD-0073,Aditya Tripathi,7765755391,Enquiry,ENQUIRY
LEAD-0074,Karthik Kapoor,6083762817,Enquiry,ENQUIRY
LEAD-0075,Azhagu Pandey,6535027729,Buyer,BUYER
LEAD-0076,Ayaan Mukherjee,7843230883,Enquiry,ENQUIRY
LEAD-0077,Anika Kumar,9787038795,Site Visit,SITE_VISIT
LEAD-0078,Priya Verma,6732105450,Site Visit,SITE_VISIT
LEAD-0079,Aarav Aggarwal,6433945965,Buyer,BUYER
LEAD-0080,Vikram Sundaram,8399609007,Channel Partner,CHANNEL_PARTNER
LEAD-0081,Rohan Reddy,7185252864,Buyer,BUYER
LEAD-0082,Nisha Tripathi,6654578486,Enquiry,ENQUIRY
LEAD-0083,Arjun Yadav,9739746410,Channel Partner,CHANNEL_PARTNER
LEAD-0084,Anika Kapoor,8991237357,Enquiry,ENQUIRY
LEAD-0085,Shreya Patel,8566474661,Channel Partner,CHANNEL_PARTNER
LEAD-0086,Janani Kumar,9983702514,Channel Partner,CHANNEL_PARTNER
LEAD-0087,Hari Reddy,9280197309,Channel Partner,CHANNEL_PARTNER
LEAD-0088,Ayaan Gupta,9234343039,Channel Partner,CHANNEL_PARTNER
LEAD-0089,Ramesh Subramanian,7490395764,Site Visit,SITE_VISIT
LEAD-0090,Harish Naidu,8015451112,Buyer,BUYER
LEAD-0091,Suresh Bose,7175750309,Buyer,BUYER
LEAD-0092,Vasudevan Malhotra,9022775753,Enquiry,ENQUIRY
LEAD-0093,Vivaan Rao,8726719752,Buyer,BUYER
LEAD-0094,Dinesh Jain,8242560489,Enquiry,ENQUIRY
