Name,Phone Number,Buyer/Channel Partner/Enquiry/Site Visit
Hari Subramanian,6682751893,Enquiry
Siddharth Tripathi,7564209312,Buyer
Anand Pillai,6941460145,Site Visit
Anika Verma,7265774428,Buyer
Rahul Kulkarni,9064578569,Enquiry
Diya Shetty,8960094575,Buyer
Krishna Roy,8234300072,Enquiry
Tanvi Reddy,9105578047,Channel Partner
Shreya Iyer,7711435375,Buyer
Vikram Iyer,6193180901,Site Visit
Dinesh Tripathi,9618011434,Buyer
Suresh Sundaram,6510663316,Channel Partner
Nisha Gupta,9829126485,Buyer
Aditya Krishnan,8731762453,Channel Partner
Azhagu Rao,9293853730,Site Visit
Divya Mukherjee,7279311607,Channel Partner
Vivaan Reddy,7327767523,Buyer
Sneha Das,6932170500,Site Visit
Ramesh Verma,9568645436,Site Visit
Vihaan Bhat,7374632477,Site Visit
Gopal Patel,9169195408,Site Visit
Gopal Chauhan,8762315986,Channel Partner
Ayaan Yadav,6490300165,Buyer
Hari Joshi,7340629397,Enquiry
Diya Shetty,7177195771,Site Visit
Vihaan Jain,7587127390,Channel Partner
Sai Arora,6390323177,Buyer
Ira Kulkarni,8648913600,Buyer
Aarav Jain,8207030495,Buyer
Arjun Reddy,6223105030,Channel Partner
Neha Kumar,8936388913,Enquiry
Aditya Naidu,8246128778,Enquiry
Dinesh Jain,6865368740,Enquiry
Krishna Pandey,7923574064,Site Visit
Divya Pillai,8559554478,Buyer
Arjun Malhotra,7240770966,Channel Partner
Shreya Rao,7095768375,Channel Partner
Neha Mukherjee,8137116632,Enquiry
Sneha Narayanan,9006798755,Enquiry
Azhagu Jain,6022021263,Enquiry
Naveen Balaji,9320083188,Buyer
Vihaan Rao,8026424848,Site Visit
Vasudevan Tripathi,6114459232,Site Visit
Nisha Nair,8652792943,Channel Partner
Krishna Venkatesh,6801061210,Channel Partner
Meera Narayanan,9478274247,Channel Partner
Ayaan Joshi,9193001215,Channel Partner
Aditya Jain,7428565653,Site Visit
Azhagu Aggarwal,7294384972,Buyer
Vivaan Krishnan,9757600866,Buyer
Nisha Kapoor,7821262155,Site Visit
Meera Nair,8408047906,Buyer
Nisha Tripathi,7423552326,Site Visit
Shreya Verma,6259577424,Site Visit
Pranav Yadav,7627611614,Buyer
Ira Roy,9397040587,Site Visit
Aadhya Chauhan,7103168630,Buyer
Navaneethan Mukherjee,7065173961,Buyer
Anand Rao,7606243870,Buyer
Dinesh Shetty,9056563349,Enquiry
Tanvi Arora,9652671671,Channel Partner
Tanvi Verma,6713783138,Enquiry
Riya Tripathi,9608563284,Site Visit
Akash Reddy,7912457063,Buyer
Suresh Bhat,9406744218,Enquiry
Anand Aggarwal,8403143886,Site Visit
Ganesh Ramaswamy,8927628503,Enquiry
Ananya Bhat,7313554459,Site Visit
Ishita Jain,7814949682,Channel Partner
Aarav Kapoor,6009176565,Enquiry
Sai Jain,8411335268,Enquiry
Rahul Ramaswamy,6057439230,Site Visit
Aditya Tripathi,7765755391,Enquiry
Karthik Kapoor,6083762817,Enquiry
